lemma;dict_pos;pos;by_hands_tags;frequency;R;D;Doc
мессианство;s;NOUN;NOUN;0,7;26;77;35
мессия;s;NOUN;NOUN;3,5;65;55;121
местечко;s;NOUN;NOUN;12,9;98;91;623
местком;s;NOUN;NOUN;1,9;66;86;105
местность;s;NOUN;NOUN;27,5;100;92;1265
место;s;NOUN;NOUN;926,6;100;98;16518
местоблюститель;s;NOUN;NOUN;0,5;20;71;26
местожительство;s;NOUN;NOUN;1,3;60;86;87
местоимение;s;NOUN;NOUN;1,3;49;86;80
местонахождение;s;NOUN;NOUN;5,0;92;89;312
местообитание;s;NOUN;NOUN;0,4;12;63;20
местоположение;s;NOUN;NOUN;5,0;85;84;320
местопребывание;s;NOUN;NOUN;0,5;31;79;36
месторасположение;s;NOUN;NOUN;1,1;51;87;96
месторождение;s;NOUN;NOUN;42,2;79;82;859
месть;s;NOUN;NOUN;12,0;99;93;613
месье;s;NOUN;NOUN;2,3;65;86;89
месяц;s;NOUN;NOUN;328,0;100;95;8900
месячишко;s;NOUN;NOUN;0,4;30;83;33
месячник;s;NOUN;NOUN;0,8;25;77;40
месячные;s;NOUN;NOUN;0,7;21;61;31
мета;s;NOUN;NOUN;1,1;53;86;76
метаболизм;s;NOUN;NOUN;1,3;38;75;66
метаболит;s;NOUN;NOUN;0,9;9;20;14
метагалактика;s;NOUN;NOUN;0,5;15;56;19
метаданные;s;NOUN;NOUN;2,4;9;45;19
металл;s;NOUN;NOUN;57,5;100;90;1788
металлист;s;NOUN;NOUN;2,0;44;71;67
металлоискатель;s;NOUN;NOUN;0,6;27;79;38
металлоконструкция;s;NOUN;NOUN;1,4;48;75;94
металлолом;s;NOUN;NOUN;3,2;82;91;201
металлообработка;s;NOUN;NOUN;1,0;27;62;45
металлопродукция;s;NOUN;NOUN;2,2;36;79;59
металлопрокат;s;NOUN;NOUN;0,6;24;77;32
металлург;s;NOUN;NOUN;7,5;79;89;272
металлургия;s;NOUN;NOUN;11,5;71;86;367
метаморфоз;s;NOUN;NOUN;0,7;40;77;46
метаморфоза;s;NOUN;NOUN;3,8;89;92;260
метан;s;NOUN;NOUN;5,2;34;69;93
метание;s;NOUN;NOUN;2,9;82;92;219
метанол;s;NOUN;NOUN;3,0;30;63;54
метастаз;s;NOUN;NOUN;1,3;56;84;79
метатеория;s;NOUN;NOUN;0,4;6;39;6
метафизика;s;NOUN;NOUN;3,4;69;83;138
метафора;s;NOUN;NOUN;11,8;96;91;510
метафоричность;s;NOUN;NOUN;0,4;28;81;31
метаязык;s;NOUN;NOUN;0,6;12;47;15
метелица;s;NOUN;NOUN;2,3;54;73;95
метелка;s;NOUN;NOUN;1,9;62;85;105
метель;s;NOUN;NOUN;7,8;90;91;337
метеор;s;NOUN;NOUN;1,5;56;80;84
метеорит;s;NOUN;NOUN;3,1;71;79;109
метеоролог;s;NOUN;NOUN;1,1;48;84;69
метеорология;s;NOUN;NOUN;0,5;30;82;34
метеостанция;s;NOUN;NOUN;0,8;32;78;41
метеоусловия;s;NOUN;NOUN;0,8;38;83;61
метиз;s;NOUN;NOUN;0,4;14;64;17
метис;s;NOUN;NOUN;0,7;21;62;35
метка;s;NOUN;NOUN;3,7;86;88;213
меткость;s;NOUN;NOUN;1,0;55;88;76
метла;s;NOUN;NOUN;6,7;88;88;335
метод;s;NOUN;NOUN;197,0;100;83;4912
метода;s;NOUN;NOUN;1,9;68;88;145
методика;s;NOUN;NOUN;40,2;97;84;1653
методист;s;NOUN;NOUN;1,2;46;86;71
методичка;s;NOUN;NOUN;0,4;17;71;21
методология;s;NOUN;NOUN;12,0;67;74;436
метр;s;NOUN;NOUN;115,2;100;96;3462
метраж;s;NOUN;NOUN;1,1;52;85;79
метранпаж;s;NOUN;NOUN;0,7;12;30;12
метрдотель;s;NOUN;NOUN;1,9;54;81;84
метрика;s;NOUN;NOUN;1,9;57;83;91
метро;s;NOUN;NOUN;48,9;99;95;1611
метрология;s;NOUN;NOUN;0,6;26;73;44
метроном;s;NOUN;NOUN;0,6;39;85;48
метрополитен;s;NOUN;NOUN;6,2;80;84;253
метрополия;s;NOUN;NOUN;2,3;56;76;101
метростроевец;s;NOUN;NOUN;0,4;19;73;22
метрострой;s;NOUN;NOUN;0,5;25;73;30
мех;s;NOUN;NOUN;13,1;97;93;572
механизатор;s;NOUN;NOUN;2,8;63;84;139
механизация;s;NOUN;NOUN;3,6;68;86;195
механизм;s;NOUN;NOUN;100,1;100;89;3778
механик;s;NOUN;NOUN;13,0;99;92;505
механика;s;NOUN;NOUN;12,0;99;79;469
механик-водитель;s;NOUN;NOUN;0,4;19;73;22
мехмат;s;NOUN;NOUN;0,6;34;81;41
меценат;s;NOUN;NOUN;3,2;79;90;201
меценатство;s;NOUN;NOUN;0,5;30;82;42
меццо-сопрано;s;NOUN;NOUN;0,8;38;78;51
меч;s;NOUN;NOUN;33,3;99;83;733
меченосец;s;NOUN;NOUN;0,4;24;77;25
мечеть;s;NOUN;NOUN;6,1;82;82;229
мечта;s;NOUN;NOUN;57,0;100;96;2228
мечтание;s;NOUN;NOUN;5,0;94;93;325
мечтатель;s;NOUN;NOUN;2,7;84;91;188
мечтательность;s;NOUN;NOUN;0,6;38;84;51
мешалка;s;NOUN;NOUN;0,5;20;68;29
мешанина;s;NOUN;NOUN;1,4;65;90;119
мешковина;s;NOUN;NOUN;1,8;66;87;124
мешок;s;NOUN;NOUN;61,1;100;92;1501
мешочек;s;NOUN;NOUN;7,0;90;92;343
мешочник;s;NOUN;NOUN;0,5;28;80;35
мещанин;s;NOUN;NOUN;4,1;79;88;180
