lemma;dict_pos;pos;by_hands_tags;frequency;R;D;Doc
трудовой;a;ADJF;ADJF;62,9;100;90;2201
трудоемкий;a;ADJF;ADJF;4,7;76;88;371
трудолюбивый;a;ADJF;ADJF;4,2;91;93;312
трудоспособный;a;ADJF;ADJF;3,1;65;87;183
трудящийся;a;ADJF;ADJF;1,8;62;88;124
трупный;a;ADJF;ADJF;1,5;66;87;89
трусливый;a;ADJF;ADJF;5,6;93;92;347
трусоватый;a;ADJF;ADJF;0,8;45;86;61
трухлявый;a;ADJF;ADJF;1,5;45;84;96
трущобный;a;ADJF;ADJF;0,4;22;78;26
трюковой;a;ADJF;ADJF;0,5;13;56;15
трюмный;a;ADJF;ADJF;0,5;19;69;19
тряпичный;a;ADJF;ADJF;2,3;74;89;146
тряпочный;a;ADJF;ADJF;0,5;30;81;36
тряский;a;ADJF;ADJF;0,7;36;81;47
туалетный;a;ADJF;ADJF;6,3;95;93;341
туберкулезный;a;ADJF;ADJF;2,0;67;87;104
тугой;a;ADJF;ADJF;11,9;94;91;580
тугоплавкий;a;ADJF;ADJF;0,4;17;69;22
туземный;a;ADJF;ADJF;1,1;52;87;73
тульский;a;ADJF;ADJF;7,0;87;90;365
туманный;a;ADJF;ADJF;12,4;98;93;691
тунгусский;a;ADJF;ADJF;0,7;28;76;40
тундровый;a;ADJF;ADJF;1,1;22;66;27
туннельный;a;ADJF;ADJF;0,6;26;76;31
тупиковый;a;ADJF;ADJF;2,4;76;91;180
туповатый;a;ADJF;ADJF;1,7;66;89;123
тупой;a;ADJF;ADJF;23,1;99;87;928
тупорылый;a;ADJF;ADJF;0,6;30;82;44
турбинный;a;ADJF;ADJF;0,7;30;79;38
турбовинтовой;a;ADJF;ADJF;0,4;16;65;22
турбулентный;a;ADJF;ADJF;0,5;17;72;27
тургеневский;a;ADJF;ADJF;2,3;70;83;122
турецкий;a;ADJF;ADJF;18,6;100;87;679
туринский;a;ADJF;ADJF;0,8;21;54;27
туристический;a;ADJF;ADJF;11,9;96;90;651
туристский;a;ADJF;ADJF;4,5;83;88;204
туркестанский;a;ADJF;ADJF;1,2;34;68;42
туркменский;a;ADJF;ADJF;2,5;56;83;113
турнирный;a;ADJF;ADJF;2,4;54;85;155
туруханский;a;ADJF;ADJF;0,7;21;65;23
тусклый;a;ADJF;ADJF;14,6;94;91;665
тусовочный;a;ADJF;ADJF;0,6;30;82;45
тутовый;a;ADJF;ADJF;0,4;22;75;23
тутошний;a;ADJF;ADJF;0,5;33;83;42
тухлый;a;ADJF;ADJF;2,4;67;89;148
тучный;a;ADJF;ADJF;3,7;83;91;230
тушеный;a;ADJF;ADJF;1,4;54;84;92
тушинский;a;ADJF;ADJF;1,2;40;76;66
тщательнейший;a;ADJF;ADJF;0,5;29;82;42
тщательный;a;ADJF;ADJF;12,6;99;94;880
тщедушный;a;ADJF;ADJF;2,6;74;89;166
тщеславный;a;ADJF;ADJF;2,3;75;90;146
тщетный;a;ADJF;ADJF;3,2;90;92;242
тыквенный;a;ADJF;ADJF;0,8;33;80;44
тыловой;a;ADJF;ADJF;4,4;87;89;199
тыльный;a;ADJF;ADJF;3,3;83;82;206
тыняновский;a;ADJF;ADJF;0,4;12;59;14
тысячелетний;a;ADJF;ADJF;3,8;88;90;243
тысячный;a;ADJF;ADJF;3,8;85;92;274
тычиночный;a;ADJF;ADJF;0,9;5;11;5
тюлевый;a;ADJF;ADJF;0,8;42;85;63
тюлений;a;ADJF;ADJF;0,4;24;79;28
тюменский;a;ADJF;ADJF;6,0;67;81;296
тюнинговый;a;ADJF;ADJF;0,7;21;63;32
тюремный;a;ADJF;ADJF;17,5;96;89;643
тюркский;a;ADJF;ADJF;1,5;52;84;88
тютчевский;a;ADJF;ADJF;0,8;27;63;34
тягловый;a;ADJF;ADJF;0,5;31;83;36
тяговый;a;ADJF;ADJF;2,6;32;67;79
тягостный;a;ADJF;ADJF;7,0;93;93;404
тягучий;a;ADJF;ADJF;3,6;73;90;241
тягчайший;a;ADJF;ADJF;0,6;41;85;51
тяжелейший;a;ADJF;ADJF;6,0;90;92;429
тяжеленный;a;ADJF;ADJF;2,5;77;90;175
тяжеленький;a;ADJF;ADJF;0,4;22;72;29
тяжелобольной;a;ADJF;ADJF;0,4;25;80;31
тяжеловатый;a;ADJF;ADJF;1,2;58;87;88
тяжеловесный;a;ADJF;ADJF;2,1;83;91;154
тяжелый;a;ADJF;ADJF;180,3;100;97;4849
тяжкий;a;ADJF;ADJF;26,0;99;90;1150
тянущий;a;ADJF;ADJF;0,8;52;88;67
убедительный;a;ADJF;ADJF;15,2;100;95;959
убежденный;a;ADJF;ADJF;19,0;99;94;1001
убиенный;a;ADJF;ADJF;2,5;71;90;149
убийственный;a;ADJF;ADJF;4,7;94;92;318
убитый;a;ADJF;ADJF;10,1;97;94;555
ублюдочный;a;ADJF;ADJF;0,6;38;86;45
убогий;a;ADJF;ADJF;11,7;97;94;631
убойный;a;ADJF;ADJF;2,3;76;90;160
убористый;a;ADJF;ADJF;0,5;36;85;43
уборочный;a;ADJF;ADJF;1,1;48;86;77
убывающий;a;ADJF;ADJF;0,9;41;83;56
убыточный;a;ADJF;ADJF;3,5;66;88;268
уважаемый;a;ADJF;ADJF;38,1;100;94;1838
уважительный;a;ADJF;ADJF;7,1;98;87;453
уведомительный;a;ADJF;ADJF;0,5;19;64;25
увеличительный;a;ADJF;ADJF;1,4;57;88;93
уверенный;a;ADJF;ADJF;112,5;100;96;3916
увеселительный;a;ADJF;ADJF;1,7;63;86;110
увесистый;a;ADJF;ADJF;4,9;87;92;330
увечный;a;ADJF;ADJF;0,5;28;79;41
увлекательнейший;a;ADJF;ADJF;0,4;27;82;38
увлекательный;a;ADJF;ADJF;8,2;99;93;603
увлекающийся;a;ADJF;ADJF;0,8;48;87;62
увольнительный;a;ADJF;ADJF;0,4;21;75;22
увядший;a;ADJF;ADJF;2,2;71;89;167
угарный;a;ADJF;ADJF;1,4;63;88;101
углеводный;a;ADJF;ADJF;0,4;19;75;25
углеводородный;a;ADJF;ADJF;3,6;47;76;137
угледобывающий;a;ADJF;ADJF;0,8;19;69;33
углекислый;a;ADJF;ADJF;3,2;65;83;148
углеродистый;a;ADJF;ADJF;0,5;23;72;28
углеродный;a;ADJF;ADJF;2,2;29;72;67
угловатый;a;ADJF;ADJF;4,0;83;85;225
угловой;a;ADJF;ADJF;7,4;98;88;396
углубленный;a;ADJF;ADJF;3,7;81;89;270
угнетающий;a;ADJF;ADJF;0,9;53;88;71
угнетенный;a;ADJF;ADJF;3,0;93;92;216
угодливый;a;ADJF;ADJF;0,8;47;88;64
угодный;a;ADJF;ADJF;7,2;98;95;476
уголовно-исполнительный;a;ADJF;ADJF;1,4;29;70;55
уголовно-правовой;a;ADJF;ADJF;0,4;19;70;21
уголовно-процессуальный;a;ADJF;ADJF;2,9;59;83;155
уголовный;a;ADJF;ADJF;81,3;100;75;2108
угольный;a;ADJF;ADJF;13,5;96;85;471
угорелый;a;ADJF;ADJF;1,0;48;86;78
угревой;a;ADJF;ADJF;0,5;14;66;16
угрожаемый;a;ADJF;ADJF;0,4;26;80;34
угрожающий;a;ADJF;ADJF;5,0;96;94;352
угрюмый;a;ADJF;ADJF;14,0;94;87;532
удаленный;a;ADJF;ADJF;3,9;75;84;239
удалой;a;ADJF;ADJF;1,9;69;90;135
ударный;a;ADJF;ADJF;14,9;98;91;750
удачливый;a;ADJF;ADJF;6,9;96;94;471
удачный;a;ADJF;ADJF;31,4;100;95;1831
удвоенный;a;ADJF;ADJF;1,9;81;91;143
удельный;a;ADJF;ADJF;14,1;81;83;621
удивительный;a;ADJF;ADJF;71,5;100;96;2758
удивленный;a;ADJF;ADJF;8,8;94;92;508
удлиненно-овальный;a;ADJF;ADJF;0,5;4;20;6
удлиненный;a;ADJF;ADJF;11,8;92;29;232
удмуртский;a;ADJF;ADJF;1,2;33;74;52
удобный;a;ADJF;ADJF;56,4;100;97;2778
удовлетворенный;a;ADJF;ADJF;1,4;67;90;116
удовлетворительный;a;ADJF;ADJF;4,0;82;89;318
удручающий;a;ADJF;ADJF;2,4;72;90;192
удрученный;a;ADJF;ADJF;1,3;59;88;97
удушающий;a;ADJF;ADJF;1,0;56;87;77
удушливый;a;ADJF;ADJF;2,1;65;88;136
уединенный;a;ADJF;ADJF;2,5;75;88;166
уездный;a;ADJF;ADJF;3,4;70;83;154
ужасающий;a;ADJF;ADJF;4,1;91;93;301
ужасный;a;ADJF;ADJF;47,9;100;95;1654
узбекский;a;ADJF;ADJF;3,8;83;87;190
узенький;a;ADJF;ADJF;5,8;86;91;321
узкий;a;ADJF;ADJF;88,3;100;91;2615
узковатый;a;ADJF;ADJF;0,4;23;76;33
узкоглазый;a;ADJF;ADJF;0,9;40;83;60
узкоплечий;a;ADJF;ADJF;0,7;33;83;49
узкоспециализированный;a;ADJF;ADJF;0,5;29;80;42
узловатый;a;ADJF;ADJF;1,6;60;86;111
узловой;a;ADJF;ADJF;2,7;75;87;159
узнаваемый;a;ADJF;ADJF;4,3;89;92;316
узорный;a;ADJF;ADJF;1,7;62;83;104
узорчатый;a;ADJF;ADJF;1,9;68;88;135
указанный;a;ADJF;ADJF;53,1;100;77;1965
указательный;a;ADJF;ADJF;8,1;94;92;415
указующий;a;ADJF;ADJF;1,0;57;89;81
уклончивый;a;ADJF;ADJF;1,4;55;87;99
укоризненный;a;ADJF;ADJF;0,9;44;86;73
украинский;a;ADJF;ADJF;34,6;100;91;1044
укрепляющий;a;ADJF;ADJF;0,8;38;80;54
укромный;a;ADJF;ADJF;4,4;89;91;299
укрупненный;a;ADJF;ADJF;1,4;35;75;77
уксусный;a;ADJF;ADJF;1,6;48;72;71
уланский;a;ADJF;ADJF;0,8;24;53;28
уличный;a;ADJF;ADJF;19,7;99;94;986
уловимый;a;ADJF;ADJF;2,5;80;90;177
улыбчивый;a;ADJF;ADJF;4,2;85;92;279
ультимативный;a;ADJF;ADJF;0,4;24;78;34
ультрадисперсный;a;ADJF;ADJF;0,8;8;30;16
ультразвуковой;a;ADJF;ADJF;2,3;61;82;114
ультраправый;a;ADJF;ADJF;0,4;27;79;33
ультрасовременный;a;ADJF;ADJF;0,9;46;86;72
ультрафиолетовый;a;ADJF;ADJF;2,5;57;85;144
ульяновский;a;ADJF;ADJF;4,5;65;87;241
умелый;a;ADJF;ADJF;7,8;98;94;509
уменьшительный;a;ADJF;ADJF;1,2;59;85;76
умеренный;a;ADJF;ADJF;10,5;98;93;675
умерший;a;ADJF;ADJF;5,4;97;93;360
уместный;a;ADJF;ADJF;9,0;98;94;660
умиленный;a;ADJF;ADJF;0,8;37;82;60
умилительный;a;ADJF;ADJF;0,9;46;83;75
умильный;a;ADJF;ADJF;0,9;45;85;75
умирающий;a;ADJF;ADJF;4,7;92;93;318
умиротворенный;a;ADJF;ADJF;1,5;68;89;118
умнейший;a;ADJF;ADJF;1,6;68;90;123
умненький;a;ADJF;ADJF;1,1;50;86;82
умный;a;ADJF;ADJF;91,5;100;96;2619
умозрительный;a;ADJF;ADJF;2,6;74;87;173
умоляющий;a;ADJF;ADJF;1,9;59;87;131
умопомрачительный;a;ADJF;ADJF;2,5;81;91;183
умопостигаемый;a;ADJF;ADJF;0,4;16;66;24
уморительный;a;ADJF;ADJF;0,8;42;83;58
умственный;a;ADJF;ADJF;16,2;99;86;726
умышленный;a;ADJF;ADJF;3,5;80;79;208
универсальный;a;ADJF;ADJF;25,7;100;90;1392
университетский;a;ADJF;ADJF;12,2;98;93;575
униженный;a;ADJF;ADJF;2,4;85;93;185
унизительный;a;ADJF;ADJF;8,3;93;94;499
уникальный;a;ADJF;ADJF;49,9;99;92;2899
унитарный;a;ADJF;ADJF;6,3;58;77;274
унифицированный;a;ADJF;ADJF;2,5;49;78;139
уничижительный;a;ADJF;ADJF;0,8;50;86;66
уничтожающий;a;ADJF;ADJF;1,1;60;89;86
унтер-офицерский;a;ADJF;ADJF;0,4;22;76;26
унылый;a;ADJF;ADJF;11,9;94;93;627
упавший;a;ADJF;ADJF;4,8;87;91;308
упадочный;a;ADJF;ADJF;0,5;21;68;27
упаковочный;a;ADJF;ADJF;1,7;51;84;101
упертый;a;ADJF;ADJF;1,0;53;87;82
упитанный;a;ADJF;ADJF;2,7;81;91;191
уплотненный;a;ADJF;ADJF;0,6;32;80;44
уплощенный;a;ADJF;ADJF;0,6;15;48;19
упоительный;a;ADJF;ADJF;1,7;63;88;114
уполномоченный;a;ADJF;ADJF;8,6;81;65;304
упорный;a;ADJF;ADJF;10,2;99;95;653
управленческий;a;ADJF;ADJF;12,0;69;86;580
управляемый;a;ADJF;ADJF;11,0;89;88;622
управляющий;a;ADJF;ADJF;22,5;90;89;805
управомоченный;a;ADJF;ADJF;0,4;9;49;18
упреждающий;a;ADJF;ADJF;1,4;56;84;93
упрощенный;a;ADJF;ADJF;7,5;79;89;448
упругий;a;ADJF;ADJF;10,7;97;92;568
упрямый;a;ADJF;ADJF;10,6;96;93;588
уравнительный;a;ADJF;ADJF;0,4;19;65;23
уравновешенный;a;ADJF;ADJF;2,0;80;91;155
ураганный;a;ADJF;ADJF;1,5;66;89;110
уральский;a;ADJF;ADJF;13,9;95;92;707
урановый;a;ADJF;ADJF;1,2;46;84;63
урбанизированный;a;ADJF;ADJF;0,5;22;61;27
урбанистический;a;ADJF;ADJF;0,6;35;82;49
урезанный;a;ADJF;ADJF;0,9;52;88;81
урогенитальный;a;ADJF;ADJF;0,4;10;51;10
уродливый;a;ADJF;ADJF;8,3;95;94;517
урожайный;a;ADJF;ADJF;1,7;64;78;104
урожденный;a;ADJF;ADJF;2,1;69;83;125
урологический;a;ADJF;ADJF;0,6;21;61;25
урочный;a;ADJF;ADJF;0,6;32;82;37
усадебный;a;ADJF;ADJF;1,4;55;84;85
усатый;a;ADJF;ADJF;8,2;86;87;364
усердный;a;ADJF;ADJF;2,6;80;90;189
усеченный;a;ADJF;ADJF;1,3;64;88;112
усидчивый;a;ADJF;ADJF;0,4;25;78;30
усиленный;a;ADJF;ADJF;6,2;95;94;422
ускоренный;a;ADJF;ADJF;6,1;84;90;442
условленный;a;ADJF;ADJF;2,1;72;91;150
условно-досрочный;a;ADJF;ADJF;0,4;12;51;16
условный;a;ADJF;ADJF;23,3;100;92;1224
услужливый;a;ADJF;ADJF;2,1;75;90;155
усовершенствованный;a;ADJF;ADJF;2,3;66;88;160
усольский;a;ADJF;ADJF;0,4;21;73;25
усопший;a;ADJF;ADJF;0,6;35;81;53
успенский;a;ADJF;ADJF;4,3;63;79;160
успешный;a;ADJF;ADJF;36,8;100;92;2396
успокаивающий;a;ADJF;ADJF;1,7;74;91;139
успокоительный;a;ADJF;ADJF;2,4;79;91;174
уссурийский;a;ADJF;ADJF;1,2;43;83;65
уставной;a;ADJF;ADJF;10,5;81;77;457
уставный;a;ADJF;ADJF;3,7;56;79;153
усталый;a;ADJF;ADJF;23,0;96;93;915
установленный;a;ADJF;ADJF;21,6;95;71;1019
установочный;a;ADJF;ADJF;1,4;40;68;64
устарелый;a;ADJF;ADJF;0,8;43;85;57
устный;a;ADJF;ADJF;11,4;100;90;596
устойчивый;a;ADJF;ADJF;35,7;100;89;1953
устрашающий;a;ADJF;ADJF;2,3;79;91;174
устроенный;a;ADJF;ADJF;2,2;80;91;167
уступчивый;a;ADJF;ADJF;0,9;48;86;67
усть-илимский;a;ADJF;ADJF;0,5;19;60;22
усть-медведицкий;a;ADJF;ADJF;0,4;5;15;6
усть-ордынский;a;ADJF;ADJF;0,8;23;76;38
усыпляющий;a;ADJF;ADJF;0,5;37;84;46
утвердительный;a;ADJF;ADJF;1,5;68;90;117
утешительный;a;ADJF;ADJF;3,3;85;92;239
утилитарный;a;ADJF;ADJF;2,5;72;86;158
утиный;a;ADJF;ADJF;2,1;68;88;127
утлый;a;ADJF;ADJF;1,2;53;88;90
утолщенный;a;ADJF;ADJF;0,9;27;55;36
утомительный;a;ADJF;ADJF;4,2;94;94;316
утомленный;a;ADJF;ADJF;3,5;86;90;240
утонченный;a;ADJF;ADJF;4,3;93;92;284
утопический;a;ADJF;ADJF;2,2;62;86;135
утопичный;a;ADJF;ADJF;0,4;22;79;31
утоптанный;a;ADJF;ADJF;0,7;38;85;54
утренний;a;ADJF;ADJF;31,9;100;94;1223
утрированный;a;ADJF;ADJF;0,6;34;82;46
утробный;a;ADJF;ADJF;1,7;56;88;124
уфимский;a;ADJF;ADJF;1,3;44;81;76
ухабистый;a;ADJF;ADJF;0,6;38;84;49
ухватистый;a;ADJF;ADJF;0,4;26;81;35
уходящий;a;ADJF;ADJF;5,4;88;92;363
ухоженный;a;ADJF;ADJF;5,4;91;93;354
участковый;a;ADJF;ADJF;7,0;88;81;285
участливый;a;ADJF;ADJF;1,1;50;85;88
учащенный;a;ADJF;ADJF;0,6;37;84;44
учащийся;a;ADJF;ADJF;1,1;42;84;81
учебно-боевой;a;ADJF;ADJF;0,8;29;78;48
учебно-воспитательный;a;ADJF;ADJF;1,3;23;57;45
учебно-методический;a;ADJF;ADJF;1,1;42;83;73
учебно-тренировочный;a;ADJF;ADJF;1,7;45;78;79
учебный;a;ADJF;ADJF;69,2;100;90;2325
ученический;a;ADJF;ADJF;3,0;84;92;197
ученый;a;ADJF;ADJF;22,7;100;95;1010
учетный;a;ADJF;ADJF;5,0;70;75;200
учительский;a;ADJF;ADJF;4,3;82;89;221
учредительный;a;ADJF;ADJF;7,6;72;69;236
учтивый;a;ADJF;ADJF;1,2;51;85;87
ушастый;a;ADJF;ADJF;2,0;62;82;103
ушлый;a;ADJF;ADJF;1,7;61;87;120
ушной;a;ADJF;ADJF;1,7;52;74;84
ущербный;a;ADJF;ADJF;2,9;87;92;210
уэльский;a;ADJF;ADJF;0,6;28;77;35
уютный;a;ADJF;ADJF;21,3;97;95;1094
уязвимый;a;ADJF;ADJF;7,3;96;93;529
фабрично-заводской;a;ADJF;ADJF;0,4;28;79;34
фабричный;a;ADJF;ADJF;3,5;93;93;229
фабульный;a;ADJF;ADJF;0,6;30;81;37
фазовый;a;ADJF;ADJF;5,8;24;67;179
файловый;a;ADJF;ADJF;0,4;14;64;18
факельный;a;ADJF;ADJF;0,4;26;81;32
факсимильный;a;ADJF;ADJF;0,9;45;83;70
фактический;a;ADJF;ADJF;21,7;96;87;1157
фактографический;a;ADJF;ADJF;0,5;16;67;30
фактологический;a;ADJF;ADJF;0,4;27;82;35
факторный;a;ADJF;ADJF;1,5;16;64;49
фактурный;a;ADJF;ADJF;0,7;35;79;51
факультативный;a;ADJF;ADJF;1,7;50;81;92
факультетский;a;ADJF;ADJF;0,5;32;81;37
фаллический;a;ADJF;ADJF;0,5;32;83;36
фальшивый;a;ADJF;ADJF;13,3;98;94;669
фамильный;a;ADJF;ADJF;4,0;88;91;260
фамильярный;a;ADJF;ADJF;0,5;31;83;41
фанатический;a;ADJF;ADJF;1,0;47;86;62
фанатичный;a;ADJF;ADJF;2,0;80;92;157
фанерный;a;ADJF;ADJF;7,2;90;91;373
фантасмагорический;a;ADJF;ADJF;0,7;38;85;56
фантастический;a;ADJF;ADJF;24,6;100;95;1214
фантастичный;a;ADJF;ADJF;1,2;62;89;98
фантомный;a;ADJF;ADJF;0,7;35;81;49
фарисейский;a;ADJF;ADJF;0,4;21;54;23
фармакологический;a;ADJF;ADJF;0,7;36;82;50
фармацевтический;a;ADJF;ADJF;3,9;76;80;191
фарсовый;a;ADJF;ADJF;0,4;23;79;32
фарфоровый;a;ADJF;ADJF;6,5;97;92;385
фаршированный;a;ADJF;ADJF;1,6;58;81;81
фасадный;a;ADJF;ADJF;0,9;31;72;58
фасонный;a;ADJF;ADJF;0,6;29;74;30
фатальный;a;ADJF;ADJF;2,5;73;90;189
фашиствующий;a;ADJF;ADJF;0,4;27;82;30
фашистский;a;ADJF;ADJF;11,9;95;92;470
фаянсовый;a;ADJF;ADJF;1,6;58;87;100
февральский;a;ADJF;ADJF;5,7;88;90;329
федеральный;a;ADJF;ADJF;208,9;88;80;5181
федеративный;a;ADJF;ADJF;6,4;71;80;241
федоровский;a;ADJF;ADJF;0,4;21;73;25
феерический;a;ADJF;ADJF;1,5;65;90;108
фекальный;a;ADJF;ADJF;0,4;23;76;29
фельдшерский;a;ADJF;ADJF;0,7;28;70;32
фельдъегерский;a;ADJF;ADJF;0,6;26;78;33
феминистский;a;ADJF;ADJF;0,5;33;84;39
фенольный;a;ADJF;ADJF;0,4;11;61;16
феноменальный;a;ADJF;ADJF;4,7;89;92;282
феноменологический;a;ADJF;ADJF;2,4;26;40;60
фенотипический;a;ADJF;ADJF;0,7;12;61;26
феодальный;a;ADJF;ADJF;4,9;79;80;177
феодосийский;a;ADJF;ADJF;0,6;16;58;18
ферганский;a;ADJF;ADJF;0,5;21;75;28
ферзиковский;a;ADJF;ADJF;0,4;12;61;19
ферментативный;a;ADJF;ADJF;1,0;16;64;41
ферментный;a;ADJF;ADJF;0,7;16;61;31
фермерский;a;ADJF;ADJF;4,3;65;85;184
ферромагнитный;a;ADJF;ADJF;0,9;15;62;40
фестивальный;a;ADJF;ADJF;2,9;52;85;159
фетровый;a;ADJF;ADJF;1,3;59;88;90
фехтовальный;a;ADJF;ADJF;0,6;22;71;26
фешенебельный;a;ADJF;ADJF;1,8;67;90;139
фиалковый;a;ADJF;ADJF;0,7;30;76;37
фибровый;a;ADJF;ADJF;0,4;27;80;33
фиброзный;a;ADJF;ADJF;0,5;5;12;5
фиговый;a;ADJF;ADJF;1,4;65;89;102
фигуральный;a;ADJF;ADJF;0,5;28;81;36
фигуристый;a;ADJF;ADJF;0,5;29;75;37
фигурный;a;ADJF;ADJF;7,8;95;78;299
физико-географический;a;ADJF;ADJF;0,4;18;71;28
физико-математический;a;ADJF;ADJF;3,4;74;86;191
физико-механический;a;ADJF;ADJF;1,1;26;76;66
физико-технический;a;ADJF;ADJF;1,8;36;62;77
физико-химический;a;ADJF;ADJF;4,0;38;76;183
физиологический;a;ADJF;ADJF;10,2;96;86;519
физиотерапевтический;a;ADJF;ADJF;0,4;21;77;29
физический;a;ADJF;ADJF;109,8;100;88;3488
физкультурный;a;ADJF;ADJF;1,6;65;89;113
фиксатый;a;ADJF;ADJF;0,4;12;61;14
фиксированный;a;ADJF;ADJF;7,0;62;84;383
фиктивный;a;ADJF;ADJF;4,1;87;88;213
филармонический;a;ADJF;ADJF;1,3;46;83;77
филевский;a;ADJF;ADJF;0,7;28;75;34
филейный;a;ADJF;ADJF;0,4;27;81;30
филиальный;a;ADJF;ADJF;0,8;27;68;37
филигранный;a;ADJF;ADJF;0,8;49;87;70
филиппинский;a;ADJF;ADJF;0,8;37;80;49
филогенетический;a;ADJF;ADJF;2,5;11;64;51
филологический;a;ADJF;ADJF;5,2;93;91;339
философический;a;ADJF;ADJF;0,9;34;78;48
философский;a;ADJF;ADJF;33,5;99;88;1146
филькин;a;ADJF;ADJF;0,7;25;48;29
фильтрационный;a;ADJF;ADJF;1,1;31;67;54
фильтровальный;a;ADJF;ADJF;0,5;14;63;23
финальный;a;ADJF;ADJF;8,0;91;91;530
финансово-кредитный;a;ADJF;ADJF;1,3;28;64;52
финансово-промышленный;a;ADJF;ADJF;2,7;54;86;165
финансово-хозяйственный;a;ADJF;ADJF;1,6;41;80;87
финансово-экономический;a;ADJF;ADJF;2,8;61;88;195
финансовый;a;ADJF;ADJF;134,5;100;91;4928
финикийский;a;ADJF;ADJF;0,5;24;76;25
финиковый;a;ADJF;ADJF;0,4;21;74;25
финишный;a;ADJF;ADJF;2,0;60;82;130
финляндский;a;ADJF;ADJF;1,7;59;80;87
финноугорский;a;ADJF;ADJF;0,4;3;8;4
финно-угорский;a;ADJF;ADJF;0,5;31;80;36
финский;a;ADJF;ADJF;17,5;100;92;729
фиолетовый;a;ADJF;ADJF;12,4;99;92;544
фирменный;a;ADJF;ADJF;16,0;99;92;954
фискальный;a;ADJF;ADJF;2,4;49;85;150
фисташковый;a;ADJF;ADJF;0,6;34;82;40
фитонцидный;a;ADJF;ADJF;0,4;5;19;6
флагманский;a;ADJF;ADJF;1,1;32;54;39
фламандский;a;ADJF;ADJF;0,8;43;85;54
фланговый;a;ADJF;ADJF;0,9;38;82;54
фланелевый;a;ADJF;ADJF;1,0;51;87;72
флегматичный;a;ADJF;ADJF;1,1;60;89;94
флорентийский;a;ADJF;ADJF;1,5;47;77;70
флористический;a;ADJF;ADJF;0,4;12;69;22
флотский;a;ADJF;ADJF;4,0;62;68;102
флюидный;a;ADJF;ADJF;0,6;9;43;12
флюидодинамический;a;ADJF;ADJF;0,5;6;52;8
флюоресцентный;a;ADJF;ADJF;0,4;10;50;17
флюоресцирующий;a;ADJF;ADJF;0,5;13;63;29
фокусный;a;ADJF;ADJF;0,5;22;72;27
фолиевый;a;ADJF;ADJF;0,8;19;58;24
фольклорный;a;ADJF;ADJF;5,3;76;88;283
фонарный;a;ADJF;ADJF;2,1;68;89;153
фондовый;a;ADJF;ADJF;9,5;65;79;378
фонетический;a;ADJF;ADJF;1,0;33;74;52
фоновый;a;ADJF;ADJF;2,3;43;80;120
фонологический;a;ADJF;ADJF;0,4;7;51;11
фонтанный;a;ADJF;ADJF;1,0;44;83;59
фордовский;a;ADJF;ADJF;0,4;19;70;22
формализованный;a;ADJF;ADJF;2,4;34;72;110
формалистический;a;ADJF;ADJF;0,9;24;57;32
формально-логический;a;ADJF;ADJF;0,4;12;60;16
формальный;a;ADJF;ADJF;25,6;99;87;1202
форменный;a;ADJF;ADJF;6,6;93;93;374
формообразующий;a;ADJF;ADJF;0,4;25;79;30
формульный;a;ADJF;ADJF;0,5;19;74;30
форсированный;a;ADJF;ADJF;2,0;65;88;128
форс-мажорный;a;ADJF;ADJF;0,9;42;77;65
фортепианный;a;ADJF;ADJF;1,8;49;86;113
фортепьянный;a;ADJF;ADJF;1,0;34;59;43
фосфатный;a;ADJF;ADJF;0,7;19;70;41
фосфорический;a;ADJF;ADJF;0,4;20;74;27
фосфорный;a;ADJF;ADJF;0,7;33;80;45
фотографический;a;ADJF;ADJF;2,8;81;90;180
фотонный;a;ADJF;ADJF;0,5;16;70;19
фотохимический;a;ADJF;ADJF;0,4;10;60;17
фрагментарный;a;ADJF;ADJF;0,9;36;81;71
фрактальный;a;ADJF;ADJF;0,9;16;63;29
фракционный;a;ADJF;ADJF;0,7;31;78;50
франкфуртский;a;ADJF;ADJF;0,8;41;85;63
франтоватый;a;ADJF;ADJF;0,4;22;77;31
французский;a;ADJF;ADJF;101,5;100;94;2965
фрачный;a;ADJF;ADJF;0,6;29;78;35
фрезерный;a;ADJF;ADJF;0,5;25;78;29
фрейдистский;a;ADJF;ADJF;0,7;45;86;60
фреймовый;a;ADJF;ADJF;0,5;6;31;8
фри;a;ADJF;ADJF;0,8;32;77;44
фривольный;a;ADJF;ADJF;1,0;50;87;82
фригидный;a;ADJF;ADJF;0,8;31;61;36
фрикционный;a;ADJF;ADJF;0,5;16;57;19
фрицевский;a;ADJF;ADJF;0,4;14;69;14
фронтальный;a;ADJF;ADJF;2,4;60;83;139
фронтовой;a;ADJF;ADJF;10,3;91;91;379
фруктовый;a;ADJF;ADJF;6,0;99;92;369
фрунзенский;a;ADJF;ADJF;2,2;59;83;119
фугасный;a;ADJF;ADJF;0,8;35;76;44
фундаменталистский;a;ADJF;ADJF;0,6;30;81;42
фундаментальный;a;ADJF;ADJF;20,9;92;84;965
функционально-технологический;a;ADJF;ADJF;0,5;9;50;23
функциональный;a;ADJF;ADJF;23,6;84;81;1034
футбольный;a;ADJF;ADJF;16,7;96;91;801
футуристический;a;ADJF;ADJF;1,0;38;82;61
фьючерсный;a;ADJF;ADJF;0,8;28;74;41
хабаровский;a;ADJF;ADJF;4,1;64;85;218
хазарский;a;ADJF;ADJF;1,2;23;61;26
